# ell tt ee te bb
8.600000000000000000e+01 1.918078404329363273e+00 4.701371014860932667e-04 -1.192323920556411301e-02 5.972090379111571923e-07
8.700000000000000000e+01 1.897750746223485274e+00 4.721428995523508959e-04 -1.215167114248089618e-02 5.973505359088582201e-07
8.800000000000000000e+01 1.878001450423394836e+00 4.739725657248505049e-04 -1.237209767322880981e-02 5.974932033864316877e-07
8.900000000000000000e+01 1.858809202267960536e+00 4.756265750080625838e-04 -1.258450007534212510e-02 5.976371823234477813e-07
9.000000000000000000e+01 1.840148013893046164e+00 4.771021998425429862e-04 -1.278898698718739999e-02 5.977826466696423970e-07
9.100000000000000000e+01 1.821999727254355994e+00 4.784000969483721008e-04 -1.298550733835023181e-02 5.979298081006899295e-07
9.200000000000000000e+01 1.804344654778003321e+00 4.795199009537746125e-04 -1.317426520277358709e-02 5.980789203294868358e-07
9.300000000000000000e+01 1.787175517809976188e+00 4.804616248599963258e-04 -1.335524991706410480e-02 5.982302814234491255e-07
9.400000000000000000e+01 1.770469306383086305e+00 4.812270883690429645e-04 -1.352867122308890058e-02 5.983842346897557059e-07
9.500000000000000000e+01 1.754219640127030910e+00 4.818161472625362950e-04 -1.369452691473096138e-02 5.985411675772846209e-07
9.600000000000000000e+01 1.738405029984825045e+00 4.822298992996055752e-04 -1.385287484875150250e-02 5.987015091146558113e-07
9.700000000000000000e+01 1.723010073030718292e+00 4.824690848236343546e-04 -1.400377772172800919e-02 5.988657256308114479e-07
9.800000000000000000e+01 1.708024882078018614e+00 4.825341206110797835e-04 -1.414730246212725015e-02 5.990343152472744014e-07
9.900000000000000000e+01 1.693420992771830225e+00 4.824265450939364515e-04 -1.428347253537406297e-02 5.992078011393083794e-07
1.000000000000000000e+02 1.679194813093548566e+00 4.821493685997650441e-04 -1.441231832612153638e-02 5.993867239563009850e-07
1.010000000000000000e+02 1.665328851087113149e+00 4.817037203847707085e-04 -1.453387687086589788e-02 5.995716335716659863e-07
1.020000000000000000e+02 1.651810415481845817e+00 4.810862590965840667e-04 -1.464832577477942661e-02 5.997630805816236114e-07
1.030000000000000000e+02 1.638618533675591848e+00 4.803071280470380005e-04 -1.475553259425200180e-02 5.999616076306714434e-07
